price,area,location,district,bedrooms_n,bathrooms_n,floors_n,house_type,year_built,facade_width,legal_status
9000.0,100.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,0,,nhà ở,,,so hong
42000.0,466.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,0,,nhà ở,,,so hong
37000.0,351.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,1,,nhà ở,,,so hong
8500.0,200.0,"Quận Bình Thuỷ, Cần Thơ",Quận Bình Thuỷ,0,0,,nhà ở,,,so hong
28000.0,199.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,5,4,,nhà ở,,,so hong
25500.0,98.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,4,5,,nhà ở,,,so hong
26000.0,194.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,1,,nhà ở,,,so hong
24000.0,152.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,5,5,,nhà ở,,,so hong
21000.0,3269.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,0,0,,nhà ở,,,so hong
30000.0,1600.0,"Huyện Phong Điền, Cần Thơ",Huyện Phong Điền,0,0,,nhà ở,,,so hong
28000.0,1567.0,"Huyện Phong Điền, Cần Thơ",Huyện Phong Điền,0,0,,nhà ở,,,so hong
7000.0,220.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,4,2,,nhà ở,,,so hong
25000.0,205.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,5,6,,biệt thự,,,so hong
16000.0,630.0,"Quận Bình Thuỷ, Cần Thơ",Quận Bình Thuỷ,0,1,,nhà ở,,,so hong
9500.0,90.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,4,4,,nhà ở,,,so hong
15000.0,101.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,3,3,,nhà ở,,,so hong
17000.0,865.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,0,0,,biệt thự,,,so hong
7190.0,108.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,3,4,,nhà phố,,,so hong
9500.0,101.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,1,,nhà ở,,,so hong
14500.0,490.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,3,4,,biệt thự,,,so hong
8500.0,132.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,3,3,,nhà ở,,,so hong
8990.0,854.0,"Huyện Phong Điền, Cần Thơ",Huyện Phong Điền,4,4,,nhà ở,,,so hong
14200.0,1416.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,0,0,,nhà ở,,,so hong
13900.0,75.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,2,3,,nhà ở,,,so hong
14800.0,120.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,1,,nhà ở,,,so hong
8900.0,78.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,4,4,,nhà ở,,,so hong
18000.0,136.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,1,,nhà ở,,,so hong
17000.0,100.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,2,,nhà ở,,,so hong
26000.0,198.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,2,,nhà ở,,,so hong
